Elapsed Sec,Evacuation Rate
593.9171,0.8221154
593.9371,0.8221154
593.9571,0.8221154
593.9771,0.8221154
593.9971,0.8221154
594.0172,0.8221154
594.0372,0.8221154
594.0572,0.8221154
594.0772,0.8221154
594.0972,0.8221154
594.1172,0.8221154
594.1373,0.8221154
594.1573,0.8221154
594.1773,0.8221154
594.1973,0.8221154
594.2173,0.8221154
594.2374,0.8221154
594.2574,0.8221154
594.2774,0.8221154
594.2974,0.8221154
594.3174,0.8221154
594.3375,0.8221154
594.3575,0.8221154
594.3775,0.8221154
594.3975,0.8221154
594.4175,0.8221154
594.4376,0.8221154
594.4576,0.8221154
594.4776,0.8221154
594.4976,0.8221154
594.5176,0.8221154
594.5377,0.8221154
594.5577,0.8221154
594.5777,0.8221154
594.5977,0.8221154
594.6177,0.8221154
594.6378,0.8221154
594.6578,0.8221154
594.6778,0.8221154
594.6978,0.8221154
594.7178,0.8221154
594.7379,0.8221154
594.7579,0.8221154
594.7779,0.8221154
594.7979,0.8221154
594.8179,0.8221154
594.838,0.8221154
594.858,0.8221154
594.878,0.8221154
594.898,0.8221154
594.918,0.8221154
594.938,0.8221154
594.9581,0.8221154
594.9781,0.8221154
594.9981,0.8221154
595.0181,0.8221154
595.0381,0.8221154
595.0582,0.8221154
595.0782,0.8221154
595.0982,0.8221154
595.1182,0.8221154
595.1382,0.8221154
595.1583,0.8221154
595.1783,0.8221154
595.1983,0.8221154
595.2183,0.8221154
595.2383,0.8221154
595.2584,0.8221154
595.2784,0.8221154
595.2984,0.8221154
595.3184,0.8221154
595.3384,0.8221154
595.3585,0.8221154
595.3785,0.8221154
595.3985,0.8221154
595.4185,0.8221154
595.4385,0.8221154
595.4586,0.8221154
595.4786,0.8221154
595.4986,0.8221154
595.5186,0.8221154
595.5386,0.8221154
595.5587,0.8221154
595.5787,0.8221154
595.5987,0.8221154
595.6187,0.8221154
595.6387,0.8221154
595.6588,0.8221154
595.6788,0.8221154
595.6988,0.8221154
595.7188,0.8221154
595.7388,0.8221154
595.7589,0.8221154
595.7789,0.8221154
595.7989,0.8221154
595.8189,0.8221154
595.8389,0.8221154
595.8589,0.8221154
595.879,0.8221154
595.899,0.8221154
595.919,0.8221154
595.939,0.8221154
595.959,0.8221154
595.9791,0.8221154
595.9991,0.8221154
596.0191,0.8221154
596.0391,0.8221154
596.0591,0.8221154
596.0792,0.8221154
